"","cps19_age","cps19_gender","cps19_education","pes19_votechoice2019"
"2105",69,"A man","Some university","Conservative Party"
"2106",63,"A woman","Some university","Liberal Party"
"2107",42,"A woman","Some university","Conservative Party"
"2108",44,"A woman","Completed secondary/ high school","Conservative Party"
"2109",40,"A woman","Completed technical, community college, CEGEP, College Classique","Conservative Party"
"2110",27,"A woman","Bachelor's degree","People's Party"
"2111",72,"A woman","Bachelor's degree","Green Party"
"2112",59,"A woman","Completed secondary/ high school","Don't know / Prefer not to answer"
"2113",57,"A man","Completed technical, community college, CEGEP, College Classique","NDP"
"2114",45,"A man","Professional degree or doctorate","Conservative Party"
"2115",69,"A man","Bachelor's degree","Liberal Party"
"2116",46,"A man","Completed technical, community college, CEGEP, College Classique","Don't know / Prefer not to answer"
"2117",58,"A woman","Completed technical, community college, CEGEP, College Classique","Conservative Party"
"2118",29,"A man","Some university","Liberal Party"
"2119",50,"A woman","Completed secondary/ high school","Liberal Party"
"2120",76,"A man","Some technical, community college, CEGEP, College Classique","Conservative Party"
"2121",89,"A man","Master's degree","Conservative Party"
"2122",46,"A woman","Some technical, community college, CEGEP, College Classique","Bloc Qu̩b̩cois"
"2123",69,"A woman","Completed technical, community college, CEGEP, College Classique","Liberal Party"
"2124",52,"A woman","Completed technical, community college, CEGEP, College Classique","Liberal Party"
"2125",69,"A woman","Completed technical, community college, CEGEP, College Classique","Liberal Party"
"2126",66,"A man","Master's degree","Liberal Party"
"2127",45,"A woman","Some technical, community college, CEGEP, College Classique","Don't know / Prefer not to answer"
"2128",79,"A woman","Bachelor's degree","NDP"
"2129",33,"A woman","Completed technical, community college, CEGEP, College Classique","NDP"
"2130",59,"A man","Completed secondary/ high school","Conservative Party"
"2131",56,"A man","Some technical, community college, CEGEP, College Classique","Liberal Party"
"2132",43,"A woman","Bachelor's degree","Conservative Party"
"2133",52,"A man","Bachelor's degree","Conservative Party"
"2134",63,"A man","Bachelor's degree","NDP"
"2135",72,"A woman","Completed secondary/ high school","Liberal Party"
"2136",32,"A woman","Some technical, community college, CEGEP, College Classique","NDP"
"2137",77,"A woman","Some technical, community college, CEGEP, College Classique","Liberal Party"
"2138",74,"A man","Bachelor's degree","Liberal Party"
"2139",65,"A woman","Some university","Liberal Party"
"2140",66,"A man","Completed technical, community college, CEGEP, College Classique","Conservative Party"
"2141",60,"A woman","Completed technical, community college, CEGEP, College Classique","Conservative Party"
"2142",71,"A man","Professional degree or doctorate","Liberal Party"
"2143",72,"A woman","Some university","Don't know / Prefer not to answer"
"2144",71,"A woman","Bachelor's degree","NDP"
"2145",50,"A woman","Some secondary/ high school","Conservative Party"
"2146",37,"A woman","Bachelor's degree","Conservative Party"
"2147",68,"A man","Some technical, community college, CEGEP, College Classique","NDP"
"2148",59,"A woman","Completed technical, community college, CEGEP, College Classique","People's Party"
"2149",65,"A man","Some university","Conservative Party"
"2150",99,"A man","Completed technical, community college, CEGEP, College Classique","Conservative Party"
"2151",67,"A man","Completed technical, community college, CEGEP, College Classique","Conservative Party"
"2152",73,"A man","Some secondary/ high school","Conservative Party"
"2153",54,"A man","Bachelor's degree","Green Party"
"2154",61,"A man","Master's degree","Conservative Party"
"2155",76,"A man","Professional degree or doctorate","Green Party"
"2156",51,"Other (e.g. Trans, non-binary, two-spirit, gender-queer)","Completed technical, community college, CEGEP, College Classique","NDP"
"2157",64,"A man","Master's degree","Conservative Party"
"2158",31,"A woman","Bachelor's degree","NDP"
"2159",47,"A man","Some university","NDP"
"2160",66,"A man","Completed secondary/ high school","Conservative Party"
"2161",70,"A man","Professional degree or doctorate","Conservative Party"
"2162",49,"A woman","Professional degree or doctorate","Don't know / Prefer not to answer"
"2163",78,"A man","Completed secondary/ high school","Conservative Party"
"2164",39,"A man","Completed technical, community college, CEGEP, College Classique","Liberal Party"
"2165",75,"A woman","Completed technical, community college, CEGEP, College Classique","Conservative Party"
"2166",64,"A woman","Completed secondary/ high school","Conservative Party"
"2167",56,"A man","Professional degree or doctorate","Don't know / Prefer not to answer"
"2168",63,"A woman","Completed elementary school","Liberal Party"
"2169",59,"A woman","Bachelor's degree","Liberal Party"
"2170",53,"A woman","Completed technical, community college, CEGEP, College Classique","Don't know / Prefer not to answer"
"2171",59,"A man","Some university","Conservative Party"
"2172",36,"A man","Master's degree","Conservative Party"
"2173",59,"A man","Some university","Liberal Party"
"2174",64,"A woman","Completed technical, community college, CEGEP, College Classique","Conservative Party"
"2175",79,"A woman","Completed secondary/ high school","Liberal Party"
"2176",48,"A man","Bachelor's degree","Liberal Party"
"2177",41,"A man","Bachelor's degree","NDP"
"2178",81,"A woman","Bachelor's degree","Another party (specify)"
"2179",69,"A man","Bachelor's degree","Liberal Party"
"2180",22,"A woman","Some university","Don't know / Prefer not to answer"
"2181",76,"A man","Completed technical, community college, CEGEP, College Classique","Conservative Party"
"2182",69,"A woman","Completed secondary/ high school","Conservative Party"
"2183",40,"A woman","Completed technical, community college, CEGEP, College Classique","Conservative Party"
"2184",47,"A woman","Bachelor's degree","Liberal Party"
"2185",67,"A man","Bachelor's degree","Liberal Party"
"2186",36,"A woman","Completed technical, community college, CEGEP, College Classique","NDP"
"2187",70,"A woman","Some technical, community college, CEGEP, College Classique","Don't know / Prefer not to answer"
"2188",59,"A man","Completed secondary/ high school","Green Party"
"2189",70,"A woman","Bachelor's degree","Conservative Party"
"2190",57,"A man","Master's degree","Conservative Party"
"2191",51,"A man","Professional degree or doctorate","Conservative Party"
"2192",78,"A man","Completed technical, community college, CEGEP, College Classique","NDP"
"2193",41,"A woman","Bachelor's degree","NDP"
"2194",66,"A woman","Completed technical, community college, CEGEP, College Classique","Green Party"
"2195",50,"A woman","Completed technical, community college, CEGEP, College Classique","Liberal Party"
"2196",39,"A man","Bachelor's degree","Conservative Party"
"2197",56,"A man","Completed secondary/ high school","Conservative Party"
"2198",73,"A woman","Completed technical, community college, CEGEP, College Classique","Conservative Party"
"2199",75,"A man","Master's degree","Liberal Party"
"2200",74,"A woman","Completed secondary/ high school","Liberal Party"
"2201",54,"A man","Completed technical, community college, CEGEP, College Classique","NDP"
"2202",67,"A man","Some secondary/ high school","NDP"
"2203",52,"A woman","Completed technical, community college, CEGEP, College Classique","NDP"
"2204",58,"A man","Completed technical, community college, CEGEP, College Classique","People's Party"
"2205",58,"A man","Completed technical, community college, CEGEP, College Classique","Conservative Party"
"2206",77,"A man","Some technical, community college, CEGEP, College Classique","Liberal Party"
"2207",62,"A man","Completed technical, community college, CEGEP, College Classique","Conservative Party"
"2208",32,"A woman","Completed secondary/ high school","Bloc Qu̩b̩cois"
"2209",18,"A woman","Completed secondary/ high school","NDP"
"2210",74,"A woman","Some secondary/ high school","Liberal Party"
"2211",32,"Other (e.g. Trans, non-binary, two-spirit, gender-queer)","Some university","NDP"
"2212",35,"A woman","Bachelor's degree","Liberal Party"
"2213",27,"A woman","Master's degree","Liberal Party"
"2214",27,"A woman","Bachelor's degree","NDP"
"2215",29,"A woman","Completed secondary/ high school","Conservative Party"
"2216",67,"A man","Completed technical, community college, CEGEP, College Classique","Conservative Party"
"2217",20,"A woman","Some university","Liberal Party"
"2218",34,"A woman","Bachelor's degree","NDP"
"2219",39,"A woman","Master's degree","Liberal Party"
"2220",43,"A man","Bachelor's degree","People's Party"
"2221",45,"A woman","Bachelor's degree","Conservative Party"
"2222",37,"A woman","Professional degree or doctorate","Liberal Party"
"2223",26,"A woman","Some university","Liberal Party"
"2224",27,"A woman","Bachelor's degree","Conservative Party"
"2225",33,"A man","Completed technical, community college, CEGEP, College Classique","Conservative Party"
"2226",68,"A man","Completed secondary/ high school","Green Party"
"2227",33,"A woman","Bachelor's degree","NDP"
"2228",34,"A woman","Bachelor's degree","NDP"
"2229",25,"A woman","Some technical, community college, CEGEP, College Classique","Liberal Party"
"2230",33,"A man","Bachelor's degree","Liberal Party"
"2231",41,"A woman","Completed secondary/ high school","Don't know / Prefer not to answer"
"2232",55,"A man","Bachelor's degree","Conservative Party"
"2233",60,"A woman","Completed secondary/ high school","Conservative Party"
"2234",46,"A man","Completed secondary/ high school","Bloc Qu̩b̩cois"
"2235",57,"A man","Some technical, community college, CEGEP, College Classique","Conservative Party"
"2236",60,"A woman","Completed technical, community college, CEGEP, College Classique","NDP"
"2237",45,"A man","Some technical, community college, CEGEP, College Classique","Conservative Party"
"2238",40,"A man","Some university","NDP"
"2239",32,"A woman","Bachelor's degree","Liberal Party"
"2240",66,"A woman","Some technical, community college, CEGEP, College Classique","Conservative Party"
"2241",60,"A man","Some secondary/ high school","Conservative Party"
"2242",66,"A woman","Completed technical, community college, CEGEP, College Classique","Don't know / Prefer not to answer"
"2243",79,"A man","Master's degree","Green Party"
"2244",50,"A woman","Completed technical, community college, CEGEP, College Classique","NDP"
"2245",53,"A woman","Some university","Liberal Party"
"2246",67,"A woman","Master's degree","NDP"
"2247",29,"Other (e.g. Trans, non-binary, two-spirit, gender-queer)","Bachelor's degree","Conservative Party"
"2248",38,"A woman","Bachelor's degree","NDP"
"2249",71,"A woman","Some secondary/ high school","Conservative Party"
"2250",58,"A man","Bachelor's degree","Conservative Party"
"2251",69,"A woman","Completed secondary/ high school","Conservative Party"
"2252",22,"A woman","Completed secondary/ high school","Conservative Party"
"2253",54,"A woman","Completed secondary/ high school","NDP"
"2254",71,"A woman","Some technical, community college, CEGEP, College Classique","NDP"
"2255",53,"A woman","Completed technical, community college, CEGEP, College Classique","Conservative Party"
"2256",63,"A woman","Completed technical, community college, CEGEP, College Classique","Liberal Party"
"2257",73,"A woman","Bachelor's degree","Conservative Party"
"2258",64,"A woman","Completed secondary/ high school","NDP"
"2259",31,"A woman","Completed elementary school","NDP"
"2260",74,"A man","Completed secondary/ high school","Liberal Party"
"2261",60,"A woman","Bachelor's degree","Green Party"
"2262",27,"A woman","Bachelor's degree","NDP"
"2263",49,"A man","Some technical, community college, CEGEP, College Classique","Liberal Party"
"2264",29,"A man","Some technical, community college, CEGEP, College Classique","NDP"
"2265",46,"A woman","Some technical, community college, CEGEP, College Classique","Conservative Party"
"2266",46,"A woman","Completed secondary/ high school","NDP"
"2267",29,"A man","Completed secondary/ high school","Liberal Party"
"2268",34,"A woman","Master's degree","Liberal Party"
"2269",62,"A woman","Some technical, community college, CEGEP, College Classique","Conservative Party"
"2270",26,"A woman","Bachelor's degree","Green Party"
"2271",34,"A man","Some university","Conservative Party"
"2272",72,"A woman","Completed elementary school","Conservative Party"
"2273",51,"A woman","Some secondary/ high school","Don't know / Prefer not to answer"
"2274",38,"A woman","Bachelor's degree","Conservative Party"
"2275",76,"A man","Some technical, community college, CEGEP, College Classique","Conservative Party"
"2276",29,"A woman","Some technical, community college, CEGEP, College Classique","Liberal Party"
"2277",39,"A man","Master's degree","NDP"
"2278",38,"A woman","Master's degree","Liberal Party"
"2279",24,"A woman","Completed secondary/ high school","Conservative Party"
"2280",44,"A man","Bachelor's degree","Liberal Party"
"2281",68,"A woman","Completed technical, community college, CEGEP, College Classique","Conservative Party"
"2282",69,"A man","Completed secondary/ high school","Conservative Party"
"2283",42,"Other (e.g. Trans, non-binary, two-spirit, gender-queer)","Completed technical, community college, CEGEP, College Classique","Liberal Party"
"2284",36,"A woman","Bachelor's degree","Conservative Party"
"2285",67,"A man","Completed secondary/ high school","Conservative Party"
"2286",51,"A man","Completed technical, community college, CEGEP, College Classique","Liberal Party"
"2287",69,"A woman","Completed technical, community college, CEGEP, College Classique","Conservative Party"
"2288",22,"A man","Bachelor's degree","NDP"
"2289",67,"A man","Completed technical, community college, CEGEP, College Classique","Liberal Party"
"2290",68,"A man","Bachelor's degree","Liberal Party"
"2291",77,"A man","Completed technical, community college, CEGEP, College Classique","Conservative Party"
"2292",86,"A woman","Completed secondary/ high school","NDP"
"2293",56,"A man","Some technical, community college, CEGEP, College Classique","Liberal Party"
"2294",36,"A man","Completed secondary/ high school","Conservative Party"
"2295",66,"A man","Completed technical, community college, CEGEP, College Classique","Liberal Party"
"2296",34,"A woman","Some technical, community college, CEGEP, College Classique","Liberal Party"
"2297",38,"A woman","Master's degree","NDP"
"2298",68,"A man","Completed secondary/ high school","NDP"
"2299",49,"A man","Completed technical, community college, CEGEP, College Classique","Liberal Party"
"2300",43,"A man","Completed secondary/ high school","Green Party"
"2301",74,"A man","Bachelor's degree","Conservative Party"
"2302",30,"A man","Some university","NDP"
"2303",27,"A man","Bachelor's degree","Liberal Party"
"2304",74,"A woman","Bachelor's degree","Conservative Party"
"2305",52,"A man","Completed technical, community college, CEGEP, College Classique","People's Party"
"2306",43,"A man","Some university","Liberal Party"
"2307",43,"A woman","Bachelor's degree","Liberal Party"
"2308",37,"A man","Bachelor's degree","NDP"
"2309",41,"A man","Bachelor's degree","NDP"
"2310",67,"A man","Some technical, community college, CEGEP, College Classique","Green Party"
"2311",52,"A woman","Master's degree","Liberal Party"
"2312",63,"A woman","Bachelor's degree","Liberal Party"
"2313",53,"A man","Bachelor's degree","Liberal Party"
"2314",91,"A woman","Completed technical, community college, CEGEP, College Classique","Liberal Party"
"2315",40,"A man","Professional degree or doctorate","Bloc Qu̩b̩cois"
"2316",64,"A woman","Completed secondary/ high school","Don't know / Prefer not to answer"
"2317",47,"A man","Master's degree","NDP"
"2318",40,"A man","Bachelor's degree","NDP"
"2319",32,"A woman","Some technical, community college, CEGEP, College Classique","People's Party"
"2320",41,"A woman","Completed technical, community college, CEGEP, College Classique","Liberal Party"
"2321",24,"A woman","Bachelor's degree","Conservative Party"
"2322",65,"A woman","Some technical, community college, CEGEP, College Classique","Conservative Party"
"2323",37,"A woman","Completed technical, community college, CEGEP, College Classique","Liberal Party"
"2324",50,"A man","Completed secondary/ high school","NDP"
"2325",37,"A man","Bachelor's degree","NDP"
"2326",54,"A woman","Bachelor's degree","NDP"
"2327",43,"A woman","Master's degree","Liberal Party"
"2328",61,"A man","Some university","Conservative Party"
"2329",65,"A woman","Bachelor's degree","Liberal Party"
"2330",37,"A man","Completed technical, community college, CEGEP, College Classique","Bloc Qu̩b̩cois"
"2331",32,"A woman","Bachelor's degree","Liberal Party"
"2332",49,"A woman","Completed secondary/ high school","Bloc Qu̩b̩cois"
"2333",48,"A woman","Bachelor's degree","Liberal Party"
"2334",40,"A man","Bachelor's degree","Liberal Party"
"2335",40,"A woman","Master's degree","Liberal Party"
"2336",22,"A woman","Bachelor's degree","NDP"
"2337",54,"A woman","Some technical, community college, CEGEP, College Classique","NDP"
"2338",68,"A man","Completed secondary/ high school","Liberal Party"
"2339",67,"A woman","Completed secondary/ high school","Liberal Party"
"2340",70,"A man","Some technical, community college, CEGEP, College Classique","Liberal Party"
"2341",53,"A woman","Bachelor's degree","Liberal Party"
"2342",67,"A woman","Completed secondary/ high school","Liberal Party"
"2343",44,"A man","Bachelor's degree","Conservative Party"
"2344",32,"A man","Completed technical, community college, CEGEP, College Classique","Conservative Party"
"2345",54,"A woman","Bachelor's degree","Conservative Party"
"2346",72,"A man","Completed secondary/ high school","Conservative Party"
"2347",56,"A woman","Some technical, community college, CEGEP, College Classique","Don't know / Prefer not to answer"
"2348",28,"A man","Completed technical, community college, CEGEP, College Classique","Conservative Party"
"2349",18,"A woman","Some secondary/ high school","NDP"
"2350",65,"A woman","Completed technical, community college, CEGEP, College Classique","People's Party"
"2351",65,"A man","Some technical, community college, CEGEP, College Classique","Conservative Party"
"2352",55,"A man","Completed secondary/ high school","Conservative Party"
"2353",45,"A woman","Bachelor's degree","Don't know / Prefer not to answer"
"2354",66,"A man","Professional degree or doctorate","Liberal Party"
"2355",69,"A man","Bachelor's degree","Liberal Party"
"2356",47,"A man","Bachelor's degree","Conservative Party"
"2357",33,"A man","Master's degree","Liberal Party"
"2358",54,"A man","Completed technical, community college, CEGEP, College Classique","Liberal Party"
"2359",29,"A man","Some technical, community college, CEGEP, College Classique","Liberal Party"
"2360",63,"A woman","Completed secondary/ high school","I spoiled my vote"
"2361",25,"A man","Completed technical, community college, CEGEP, College Classique","Liberal Party"
"2362",43,"A woman","Bachelor's degree","Liberal Party"
"2363",71,"A woman","Some university","NDP"
"2364",50,"A man","Bachelor's degree","Liberal Party"
"2365",61,"A woman","Completed technical, community college, CEGEP, College Classique","Liberal Party"
"2366",59,"A woman","Completed secondary/ high school","Conservative Party"
"2367",40,"A man","Some technical, community college, CEGEP, College Classique","Liberal Party"
"2368",62,"A woman","Some technical, community college, CEGEP, College Classique","Liberal Party"
"2369",38,"A woman","Some technical, community college, CEGEP, College Classique","Liberal Party"
"2370",34,"A man","Some university","Green Party"
"2371",32,"A man","Professional degree or doctorate","NDP"
"2372",68,"A man","Some university","Liberal Party"
"2373",39,"A man","Master's degree","NDP"
"2374",72,"A man","Completed secondary/ high school","Liberal Party"
"2375",62,"A woman","Completed technical, community college, CEGEP, College Classique","Conservative Party"
"2376",72,"A man","Completed technical, community college, CEGEP, College Classique","Liberal Party"
"2377",28,"A man","Bachelor's degree","Conservative Party"
"2378",45,"A woman","Master's degree","NDP"
"2379",55,"A man","Some university","Conservative Party"
"2380",59,"A woman","Completed technical, community college, CEGEP, College Classique","Conservative Party"
"2381",21,"A woman","Completed secondary/ high school","NDP"
"2382",25,"A woman","Master's degree","Conservative Party"
"2383",31,"A woman","Completed technical, community college, CEGEP, College Classique","Liberal Party"
"2384",40,"A woman","Completed secondary/ high school","NDP"
"2385",37,"A woman","Completed technical, community college, CEGEP, College Classique","NDP"
"2386",30,"A woman","Bachelor's degree","Green Party"
"2387",41,"A woman","Bachelor's degree","Conservative Party"
"2388",51,"A woman","Some technical, community college, CEGEP, College Classique","Liberal Party"
"2389",55,"A man","Some university","NDP"
"2390",49,"A man","Bachelor's degree","Liberal Party"
"2391",90,"A man","Bachelor's degree","Conservative Party"
"2392",60,"A woman","Some technical, community college, CEGEP, College Classique","NDP"
"2393",68,"A man","Some technical, community college, CEGEP, College Classique","Conservative Party"
"2394",73,"A woman","Completed technical, community college, CEGEP, College Classique","Conservative Party"
"2395",49,"A woman","Bachelor's degree","Liberal Party"
"2396",41,"A woman","Completed technical, community college, CEGEP, College Classique","NDP"
"2397",58,"A woman","Some technical, community college, CEGEP, College Classique","Green Party"
"2398",31,"A woman","Bachelor's degree","Liberal Party"
"2399",67,"A man","Completed technical, community college, CEGEP, College Classique","NDP"
"2400",37,"A woman","Bachelor's degree","Liberal Party"
"2401",66,"A man","Completed technical, community college, CEGEP, College Classique","Conservative Party"
"2402",75,"A woman","Completed secondary/ high school","Conservative Party"
"2403",69,"A man","Completed technical, community college, CEGEP, College Classique","Conservative Party"
"2404",52,"A woman","Completed technical, community college, CEGEP, College Classique","Liberal Party"
"2405",66,"A woman","Bachelor's degree","NDP"
"2406",41,"A man","Master's degree","Conservative Party"
"2407",54,"A woman","Bachelor's degree","Green Party"
"2408",38,"A woman","Bachelor's degree","NDP"
"2409",83,"A woman","Bachelor's degree","Liberal Party"
"2410",73,"A woman","Bachelor's degree","Liberal Party"
"2411",56,"A man","Bachelor's degree","Conservative Party"
"2412",65,"A woman","Bachelor's degree","NDP"
"2413",30,"A woman","Bachelor's degree","Liberal Party"
"2414",60,"A woman","Completed secondary/ high school","Don't know / Prefer not to answer"
"2415",35,"A man","Completed secondary/ high school","Conservative Party"
"2416",53,"A man","Master's degree","Conservative Party"
"2417",52,"A woman","Completed technical, community college, CEGEP, College Classique","NDP"
"2418",53,"A woman","Completed secondary/ high school","Conservative Party"
"2419",49,"A man","Some technical, community college, CEGEP, College Classique","Conservative Party"
"2420",63,"A woman","Some secondary/ high school","Conservative Party"
"2421",34,"A man","Professional degree or doctorate","Conservative Party"
"2422",62,"A woman","Some university","Liberal Party"
"2423",72,"A man","Bachelor's degree","Liberal Party"
"2424",59,"A man","Professional degree or doctorate","Another party (specify)"
"2425",49,"A woman","Master's degree","Green Party"
"2426",62,"A woman","Bachelor's degree","Green Party"
"2427",47,"A woman","Master's degree","Liberal Party"
"2428",72,"A man","Professional degree or doctorate","Conservative Party"
"2429",83,"A woman","Some secondary/ high school","Conservative Party"
"2430",79,"A man","Master's degree","Conservative Party"
"2431",64,"A woman","Some university","Don't know / Prefer not to answer"
"2432",53,"A man","Some university","Liberal Party"
"2433",72,"A man","Professional degree or doctorate","Conservative Party"
"2434",59,"A man","Completed technical, community college, CEGEP, College Classique","Green Party"
"2435",66,"A woman","Professional degree or doctorate","Conservative Party"
"2436",57,"A man","Bachelor's degree","Green Party"
"2437",84,"A woman","Some secondary/ high school","Conservative Party"
"2438",50,"A woman","Some secondary/ high school","Conservative Party"
"2439",52,"A woman","Completed secondary/ high school","Liberal Party"
"2440",61,"A woman","Some secondary/ high school","Conservative Party"
"2441",60,"A man","Master's degree","Liberal Party"
"2442",64,"A woman","Bachelor's degree","Liberal Party"
"2443",69,"A man","Some technical, community college, CEGEP, College Classique","Conservative Party"
"2444",54,"A man","Completed secondary/ high school","NDP"
"2445",54,"A man","Some technical, community college, CEGEP, College Classique","Conservative Party"
"2446",53,"A man","Bachelor's degree","Liberal Party"
"2447",77,"A woman","Some university","Conservative Party"
"2448",44,"A woman","Completed technical, community college, CEGEP, College Classique","Liberal Party"
"2449",67,"A man","Completed technical, community college, CEGEP, College Classique","Conservative Party"
"2450",62,"A man","Bachelor's degree","Conservative Party"
"2451",29,"A woman","Bachelor's degree","NDP"
"2452",36,"A man","Bachelor's degree","Liberal Party"
"2453",35,"A woman","Some university","Liberal Party"
"2454",59,"A man","Completed secondary/ high school","Liberal Party"
"2455",77,"A man","Master's degree","Liberal Party"
"2456",37,"A man","Professional degree or doctorate","Conservative Party"
"2457",73,"A man","Completed technical, community college, CEGEP, College Classique","Liberal Party"
"2458",47,"A man","Bachelor's degree","Another party (specify)"
"2459",60,"A man","Some technical, community college, CEGEP, College Classique","Conservative Party"
"2460",37,"A man","Completed secondary/ high school","Liberal Party"
"2461",41,"A woman","Completed technical, community college, CEGEP, College Classique","Green Party"
"2462",60,"A woman","Completed secondary/ high school","Don't know / Prefer not to answer"
"2463",88,"A woman","Completed elementary school","Conservative Party"
"2464",61,"A woman","Some university","Green Party"
"2465",60,"A man","Master's degree","Conservative Party"
"2466",49,"A man","Bachelor's degree","Conservative Party"
"2467",40,"A woman","Bachelor's degree","Liberal Party"
"2468",50,"A man","Bachelor's degree","Conservative Party"
"2469",66,"A woman","Some secondary/ high school","Conservative Party"
"2470",76,"A man","Professional degree or doctorate","Liberal Party"
"2471",56,"A man","Completed secondary/ high school","Conservative Party"
"2472",50,"A woman","Some university","Liberal Party"
"2473",61,"A man","Bachelor's degree","Liberal Party"
"2474",61,"A woman","Some technical, community college, CEGEP, College Classique","Liberal Party"
"2475",35,"A woman","Bachelor's degree","Liberal Party"
"2476",41,"A woman","Master's degree","Green Party"
"2477",70,"A man","Some secondary/ high school","Liberal Party"
"2478",51,"A man","Completed technical, community college, CEGEP, College Classique","NDP"
"2479",44,"A woman","Completed technical, community college, CEGEP, College Classique","Conservative Party"
"2480",27,"A woman","Completed technical, community college, CEGEP, College Classique","NDP"
"2481",47,"A woman","Completed secondary/ high school","NDP"
"2482",69,"A woman","Some university","Conservative Party"
"2483",55,"A man","Some technical, community college, CEGEP, College Classique","Conservative Party"
"2484",65,"A man","Completed technical, community college, CEGEP, College Classique","Conservative Party"
"2485",50,"A man","Some university","NDP"
"2486",68,"A woman","Completed secondary/ high school","NDP"
"2487",34,"A woman","Completed technical, community college, CEGEP, College Classique","Conservative Party"
"2488",37,"A woman","Completed technical, community college, CEGEP, College Classique","NDP"
"2489",64,"A woman","Professional degree or doctorate","NDP"
"2490",42,"A woman","Bachelor's degree","NDP"
"2491",71,"A man","Some technical, community college, CEGEP, College Classique","Liberal Party"
"2492",57,"A man","Some technical, community college, CEGEP, College Classique","Green Party"
"2493",62,"A woman","Professional degree or doctorate","NDP"
"2494",49,"A woman","Completed secondary/ high school","Conservative Party"
"2495",53,"A woman","Bachelor's degree","Green Party"
"2496",39,"A man","Bachelor's degree","Conservative Party"
"2497",64,"A man","Completed secondary/ high school","Another party (specify)"
"2498",62,"A woman","Some technical, community college, CEGEP, College Classique","Liberal Party"
"2499",72,"A man","Some university","Green Party"
"2500",47,"A man","Bachelor's degree","Another party (specify)"
"2501",63,"A man","Completed secondary/ high school","Liberal Party"
"2502",65,"A man","Completed technical, community college, CEGEP, College Classique","Liberal Party"
"2503",40,"A woman","Bachelor's degree","Conservative Party"
"2504",44,"A woman","Completed secondary/ high school","Conservative Party"
"2505",66,"A woman","Master's degree","Liberal Party"
"2506",80,"A man","Completed technical, community college, CEGEP, College Classique","Liberal Party"
"2507",52,"A man","Master's degree","Conservative Party"
"2508",57,"A man","Some technical, community college, CEGEP, College Classique","Liberal Party"
"2509",73,"A man","Master's degree","Conservative Party"
"2510",60,"A man","Completed technical, community college, CEGEP, College Classique","Conservative Party"
"2511",34,"A woman","Completed technical, community college, CEGEP, College Classique","Green Party"
"2512",68,"A woman","Completed secondary/ high school","Liberal Party"
"2513",39,"A woman","Completed secondary/ high school","Conservative Party"
"2514",61,"A woman","Bachelor's degree","Liberal Party"
"2515",66,"A woman","Completed secondary/ high school","Liberal Party"
"2516",60,"A man","Some secondary/ high school","Conservative Party"
"2517",65,"A woman","Completed secondary/ high school","Conservative Party"
"2518",39,"A woman","Professional degree or doctorate","Liberal Party"
"2519",59,"A man","Professional degree or doctorate","Conservative Party"
"2520",59,"A woman","Completed technical, community college, CEGEP, College Classique","Conservative Party"
"2521",77,"A woman","Some university","Green Party"
"2522",74,"A man","Master's degree","NDP"
"2523",73,"A woman","Completed secondary/ high school","Conservative Party"
"2524",53,"A man","Bachelor's degree","Liberal Party"
"2525",54,"A man","Master's degree","Bloc Qu̩b̩cois"
"2526",67,"A woman","Master's degree","Liberal Party"
"2527",68,"A woman","Some secondary/ high school","Liberal Party"
"2528",48,"A woman","Master's degree","Don't know / Prefer not to answer"
"2529",46,"A woman","Bachelor's degree","Conservative Party"
"2530",38,"A man","Bachelor's degree","Liberal Party"
"2531",73,"A woman","Completed secondary/ high school","NDP"
"2532",71,"A woman","Master's degree","Liberal Party"
"2533",60,"A man","Some technical, community college, CEGEP, College Classique","Liberal Party"
"2534",51,"A man","Completed technical, community college, CEGEP, College Classique","Conservative Party"
"2535",60,"A woman","Bachelor's degree","Liberal Party"
"2536",66,"A man","Bachelor's degree","Conservative Party"
"2537",65,"A woman","Completed technical, community college, CEGEP, College Classique","Liberal Party"
"2538",75,"A man","Master's degree","Liberal Party"
"2539",66,"A man","Some technical, community college, CEGEP, College Classique","NDP"
"2540",49,"A man","Bachelor's degree","Liberal Party"
"2541",67,"A woman","Bachelor's degree","Green Party"
"2542",35,"A woman","Some technical, community college, CEGEP, College Classique","Conservative Party"
"2543",77,"A man","Professional degree or doctorate","Liberal Party"
"2544",44,"A man","Completed technical, community college, CEGEP, College Classique","Liberal Party"
"2545",77,"A man","Professional degree or doctorate","Liberal Party"
"2546",59,"A man","Some university","Conservative Party"
"2547",49,"A woman","Bachelor's degree","Don't know / Prefer not to answer"
"2548",59,"A woman","Some university","Liberal Party"
"2549",44,"Other (e.g. Trans, non-binary, two-spirit, gender-queer)","Completed technical, community college, CEGEP, College Classique","Conservative Party"
"2550",64,"A woman","Some university","Conservative Party"
"2551",73,"A man","Professional degree or doctorate","NDP"
"2552",73,"A man","Bachelor's degree","NDP"
"2553",48,"A woman","Bachelor's degree","Liberal Party"
"2554",71,"A man","Completed technical, community college, CEGEP, College Classique","Conservative Party"
"2555",84,"A woman","Professional degree or doctorate","Green Party"
"2556",35,"A woman","Some technical, community college, CEGEP, College Classique","Green Party"
"2557",31,"A woman","Bachelor's degree","Liberal Party"
"2558",56,"A woman","Completed secondary/ high school","Liberal Party"
"2559",51,"A woman","Some university","Conservative Party"
"2560",79,"A man","Professional degree or doctorate","Conservative Party"
